,id,PredictionString
0,00188a671292_study,negative 1 0 0 1 1
1,004bd59708be_study,negative 1 0 0 1 1
2,00508faccd39_study,negative 1 0 0 1 1
3,006486aa80b2_study,negative 1 0 0 1 1
4,00655178fdfc_study,negative 1 0 0 1 1
5,00a81e8f1051_study,negative 1 0 0 1 1
6,00be7de16711_study,negative 1 0 0 1 1
7,00c7a3928f0f_study,negative 1 0 0 1 1
8,00d63957bc3a_study,negative 1 0 0 1 1
9,0107f2d291d6_study,negative 1 0 0 1 1
10,0154653179fa_study,negative 1 0 0 1 1
11,015f89ec55ea_study,negative 1 0 0 1 1
12,0241bc13eac6_study,negative 1 0 0 1 1
13,025bfc117ff8_study,negative 1 0 0 1 1
14,028abd3504b6_study,negative 1 0 0 1 1
15,02ee3a9820eb_study,negative 1 0 0 1 1
16,0321bb7f84b5_study,negative 1 0 0 1 1
17,03e0a59d9b8a_study,negative 1 0 0 1 1
18,03fc9ec0dba8_study,negative 1 0 0 1 1
19,045783dbe7d1_study,negative 1 0 0 1 1
20,04c42f33c006_study,negative 1 0 0 1 1
21,04c4e92d40b8_study,negative 1 0 0 1 1
22,04d0f88f790a_study,negative 1 0 0 1 1
23,059007b73d82_study,negative 1 0 0 1 1
24,05ce6249b5c0_study,negative 1 0 0 1 1
25,05f22f0c2412_study,negative 1 0 0 1 1
26,061969abb8a5_study,negative 1 0 0 1 1
27,063ee1363644_study,negative 1 0 0 1 1
28,06d315ac12ff_study,negative 1 0 0 1 1
29,06fa49182629_study,negative 1 0 0 1 1
30,070d030a9ff7_study,negative 1 0 0 1 1
31,07467db0a5ae_study,negative 1 0 0 1 1
32,074763143b55_study,negative 1 0 0 1 1
33,07bac22f0a34_study,negative 1 0 0 1 1
34,080ea6634d62_study,negative 1 0 0 1 1
35,0816f9d3875e_study,negative 1 0 0 1 1
36,0838c0a2c424_study,negative 1 0 0 1 1
37,0843b8e9ca34_study,negative 1 0 0 1 1
38,0847751da0f7_study,negative 1 0 0 1 1
39,08cc9af3edf8_study,negative 1 0 0 1 1
40,096601e1340d_study,negative 1 0 0 1 1
41,098be79259d5_study,negative 1 0 0 1 1
42,0992f862466e_study,negative 1 0 0 1 1
43,0a50336ef885_study,negative 1 0 0 1 1
44,0ac42f524362_study,negative 1 0 0 1 1
45,0b1d3c1abed3_study,negative 1 0 0 1 1
46,0b1f60821d8f_study,negative 1 0 0 1 1
47,0b55f8263527_study,negative 1 0 0 1 1
48,0b6af2d5fa06_study,negative 1 0 0 1 1
49,0ba4b75a0784_study,negative 1 0 0 1 1
50,0bc43d526b5d_study,negative 1 0 0 1 1
51,0bdd39af9529_study,negative 1 0 0 1 1
52,0cca5e135833_study,negative 1 0 0 1 1
53,0d21581c34cf_study,negative 1 0 0 1 1
54,0d476d070d71_study,negative 1 0 0 1 1
55,0d7e69753505_study,negative 1 0 0 1 1
56,0d90fdee21da_study,negative 1 0 0 1 1
57,0dd6457640a2_study,negative 1 0 0 1 1
58,0e5a61d4ecaf_study,negative 1 0 0 1 1
59,0e6a7ad528a2_study,negative 1 0 0 1 1
60,0e72153af29d_study,negative 1 0 0 1 1
61,0e943735788f_study,negative 1 0 0 1 1
62,0ebc8d73fad5_study,negative 1 0 0 1 1
63,0ebcd444ab94_study,negative 1 0 0 1 1
64,0ec0901a5d45_study,negative 1 0 0 1 1
65,0ecd0d14d4f4_study,negative 1 0 0 1 1
66,0f6a24630aae_study,negative 1 0 0 1 1
67,0f78e4f5c662_study,negative 1 0 0 1 1
68,0fa7372c4120_study,negative 1 0 0 1 1
69,0fb12a40b091_study,negative 1 0 0 1 1
70,102b201f8074_study,negative 1 0 0 1 1
71,10450f9a0671_study,negative 1 0 0 1 1
72,106326aea184_study,negative 1 0 0 1 1
73,108d012276cd_study,negative 1 0 0 1 1
74,10e136a7def6_study,negative 1 0 0 1 1
75,10e407d29b98_study,negative 1 0 0 1 1
76,112fca0c27c7_study,negative 1 0 0 1 1
77,1150b14c8978_study,negative 1 0 0 1 1
78,11808a6c4ebc_study,negative 1 0 0 1 1
79,119e45ffb508_study,negative 1 0 0 1 1
80,1204a99587e8_study,negative 1 0 0 1 1
81,124796c05943_study,negative 1 0 0 1 1
82,12d16bfd378c_study,negative 1 0 0 1 1
83,12d71150e1c6_study,negative 1 0 0 1 1
84,12e91c6be34e_study,negative 1 0 0 1 1
85,134a29f5263d_study,negative 1 0 0 1 1
86,13dd8cf5ae88_study,negative 1 0 0 1 1
87,14072c7f2a75_study,negative 1 0 0 1 1
88,1432f644f41a_study,negative 1 0 0 1 1
89,1448dfb57548_study,negative 1 0 0 1 1
90,147a09511a1b_study,negative 1 0 0 1 1
91,148c96b41de4_study,negative 1 0 0 1 1
92,149c8d66e874_study,negative 1 0 0 1 1
93,14be2e12c7cf_study,negative 1 0 0 1 1
94,1517e9b8a9f3_study,negative 1 0 0 1 1
95,1595ac3e0da9_study,negative 1 0 0 1 1
96,15c748a291eb_study,negative 1 0 0 1 1
97,163abcbc5d4a_study,negative 1 0 0 1 1
98,164b05333dd6_study,negative 1 0 0 1 1
99,164de8fd99f3_study,negative 1 0 0 1 1
100,1655b1e7933e_study,negative 1 0 0 1 1
101,16924e50c674_study,negative 1 0 0 1 1
102,17562fa44338_study,negative 1 0 0 1 1
103,1777481e665f_study,negative 1 0 0 1 1
104,17ffbc3d2207_study,negative 1 0 0 1 1
105,1834c71c3ae8_study,negative 1 0 0 1 1
106,1846f85eefa1_study,negative 1 0 0 1 1
107,18acddb9abb7_study,negative 1 0 0 1 1
108,18b75ba2b7e9_study,negative 1 0 0 1 1
109,18c4af7e2309_study,negative 1 0 0 1 1
110,18c748563dad_study,negative 1 0 0 1 1
111,18d983a50a6c_study,negative 1 0 0 1 1
112,18ffa70a4a16_study,negative 1 0 0 1 1
113,191774101c9d_study,negative 1 0 0 1 1
114,19a13254e857_study,negative 1 0 0 1 1
